symbol,model,scope,n_train,fallback_share,n,auc,brier,log_loss,accuracy,base_rate
MSFT,logistic_imbalance,common,233995,0.6332703213610587,70168,0.5851690182472399,0.24614019186549374,0.6856379404012074,0.5617945502223236,0.5060711435412154
MSFT,logistic_queues,all,233995,0.6332703213610587,93598,0.62200540482896,0.2402278613998948,0.6736859606382309,0.5861663710763051,0.5028205730891686
MSFT,logistic_queues,common,233995,0.6332703213610587,70168,0.5852104408269604,0.24631167148187633,0.6861028604418776,0.561623532094402,0.5060711435412154
MSFT,logistic_all,all,233995,0.6332703213610587,93598,0.6223879026191459,0.24011226203211392,0.6734670853710351,0.5862625269770722,0.5028205730891686
MSFT,logistic_all,common,233995,0.6332703213610587,70168,0.5859982060047213,0.24618309482189749,0.6859039603127555,0.5617090411583627,0.5060711435412154
MSFT,boosted_queues,all,233995,0.6332703213610587,93598,0.6217575699021007,0.24009937024593406,0.6733870559891928,0.5846492446419795,0.5028205730891686
MSFT,boosted_queues,common,233995,0.6332703213610587,70168,0.5838512806612935,0.2468295708065736,0.6872573869029845,0.5607256869228138,0.5060711435412154
MSFT,boosted_all,all,233995,0.6332703213610587,93598,0.6221229701176152,0.23962744395950103,0.6725247789946804,0.5856214876386248,0.5028205730891686
MSFT,boosted_all,common,233995,0.6332703213610587,70168,0.5856298270785446,0.24614214187418448,0.6859668790522762,0.5622505985634477,0.5060711435412154
MU,analytic,common,233987,0.44234404536862004,66037,0.6144603598148818,0.2461082625848057,0.6891318601231928,0.5777215803261808,0.48728742977421746
MU,logistic_imbalance,all,233987,0.44234404536862004,93595,0.6478723500053069,0.2332316573969237,0.6587703462395743,0.6078209306052674,0.48220524600673115
MU,logistic_imbalance,common,233987,0.44234404536862004,66037,0.6166644194314796,0.23933477014545534,0.6713929837747606,0.5828550660993079,0.48728742977421746
MU,logistic_queues,all,233987,0.44234404536862004,93595,0.6476084488876442,0.23335686726615248,0.6590536263065666,0.60712644906245,0.48220524600673115
MU,logistic_queues,common,233987,0.44234404536862004,66037,0.6168400982629559,0.23934138649527326,0.6714085876059263,0.5829459242545846,0.48728742977421746
MU,logistic_all,all,233987,0.44234404536862004,93595,0.6472120131396242,0.2334734074636938,0.6593271143076532,0.6064105988567765,0.48220524600673115
MU,logistic_all,common,233987,0.44234404536862004,66037,0.6162149902919054,0.23947592972806972,0.6717011707147541,0.5810227599678968,0.48728742977421746
MU,boosted_queues,all,233987,0.44234404536862004,93595,0.6406081486506483,0.23487592630170995,0.6623789313756151,0.6015705967199102,0.48220524600673115
MU,boosted_queues,common,233987,0.44234404536862004,66037,0.6055433500506374,0.24125920810949247,0.6753702397540786,0.5756015567030605,0.48728742977421746
MU,boosted_all,all,233987,0.44234404536862004,93595,0.6461874216097145,0.23419246440477406,0.6612986191262316,0.6071157647310219,0.48220524600673115
MU,boosted_all,common,233987,0.44234404536862004,66037,0.6120553569509601,0.24136418939820536,0.6763958429042858,0.58120447627845,0.48728742977421746
NFLX,analytic,common,233995,0.8998109640831758,29261,0.5475128542858798,0.2784261627112304,0.7872363371031291,0.5252383718943303,0.5337138170260757
NFLX,logistic_imbalance,all,233995,0.8998109640831758,93598,0.5621742260530888,0.24757475678392873,0.6882859779433298,0.5433128913010962,0.5483023141520118
NFLX,logistic_imbalance,common,233995,0.8998109640831758,29261,0.5582122919406152,0.24846048670308532,0.6900652331998991,0.5369946344964287,0.5337138170260757
NFLX,logistic_queues,all,233995,0.8998109640831758,93598,0.5675556043752562,0.24716428960227121,0.6874627833390525,0.5426184320177782,0.5483023141520118
NFLX,logistic_queues,common,233995,0.8998109640831758,29261,0.5578505142155504,0.24807276570096679,0.6892896137744324,0.5413690577902327,0.5337138170260757
NFLX,logistic_all,all,233995,0.8998109640831758,93598,0.5670314810623089,0.2474278721337688,0.688022312405574,0.5432701553451997,0.5483023141520118
NFLX,logistic_all,common,233995,0.8998109640831758,29261,0.5481074829808612,0.24841394887958249,0.6899908079918733,0.5320734082908991,0.5337138170260757
NFLX,boosted_queues,all,233995,0.8998109640831758,93598,0.5556696121765679,0.24833883661198544,0.6899890551644451,0.5419560247013825,0.5483023141520118
NFLX,boosted_queues,common,233995,0.8998109640831758,29261,0.5388848213709635,0.24930290064583935,0.6918627151321074,0.5333037148422816,0.5337138170260757
NFLX,boosted_all,all,233995,0.8998109640831758,93598,0.5625816435137397,0.2485370042123389,0.6906605346212837,0.5447765977905511,0.5483023141520118
NFLX,boosted_all,common,233995,0.8998109640831758,29261,0.5319681284557359,0.25092616900165793,0.6954516658579656,0.5228119339735484,0.5337138170260757
REGN,analytic,common,233992,0.9546313799621928,23839,0.5653171544567698,0.25707349397521867,0.7140772280933602,0.5411720290280633,0.509627081672889
REGN,logistic_imbalance,all,233992,0.9546313799621928,93598,0.5649062396205453,0.2476049309074848,0.6883715695497935,0.5478749545930469,0.5107587768969423
REGN,logistic_imbalance,common,233992,0.9546313799621928,23839,0.5798700213720696,0.2474059566409724,0.6879461015722664,0.5427241075548471,0.509627081672889
REGN,logistic_queues,all,233992,0.9546313799621928,93598,0.5678003926370185,0.2468580597521893,0.6868146677838964,0.547020235475117,0.5107587768969423
REGN,logistic_queues,common,233992,0.9546313799621928,23839,0.5710427292822138,0.2472365629875707,0.6875903441695068,0.5383195603842443,0.509627081672889
REGN,logistic_all,all,233992,0.9546313799621928,93598,0.5618779549241251,0.2480324571982272,0.6892946241617717,0.5455672129746362,0.5107587768969423
REGN,logistic_all,common,233992,0.9546313799621928,23839,0.5475789105912676,0.24787981166986395,0.6888830663927534,0.5284617643357523,0.509627081672889
REGN,boosted_queues,all,233992,0.9546313799621928,93598,0.5468649405351257,0.258541042177989,0.7135870935702964,0.5348618560225645,0.5107587768969423
REGN,boosted_queues,common,233992,0.9546313799621928,23839,0.5248557070213371,0.26155365718047113,0.719912366286418,0.5261126725114309,0.509627081672889
REGN,boosted_all,all,233992,0.9546313799621928,93598,0.5653717404839669,0.2547285102817045,0.7062307710979745,0.5478642706040727,0.5107587768969423
REGN,boosted_all,common,233992,0.9546313799621928,23839,0.5705013687686419,0.249249392221466,0.6924058087292828,0.5485548890473594,0.509627081672889
SIRI,analytic,common,233393,0.3572778827977316,26311,0.6688496043057485,0.2164143770734471,0.6241678857379729,0.629432556725324,0.7082589031203679
SIRI,logistic_imbalance,all,233393,0.3572778827977316,93385,0.7417944057440626,0.21269580228019422,0.6166651630371839,0.7090003747925255,0.5389088183327087
